county,health_officer_region,age_cat,sex,race7,pop
Alameda,Bay Area,0-4,FEMALE,WhiteTE NH,2008
Alameda,Bay Area,0-4,FEMALE,WhiteTE NH,2128
Alameda,Bay Area,0-4,FEMALE,WhiteTE NH,2142
Alameda,Bay Area,0-4,FEMALE,WhiteTE NH,2057
Alameda,Bay Area,0-4,FEMALE,WhiteTE NH,1965
Alameda,Bay Area,5-11,FEMALE,WhiteTE NH,2017
Alameda,Bay Area,5-11,FEMALE,WhiteTE NH,1835
Alameda,Bay Area,5-11,FEMALE,WhiteTE NH,1840
Alameda,Bay Area,5-11,FEMALE,WhiteTE NH,1911
Alameda,Bay Area,5-11,FEMALE,WhiteTE NH,1935
Alameda,Bay Area,5-11,FEMALE,WhiteTE NH,1864
Alameda,Bay Area,5-11,FEMALE,WhiteTE NH,1722
Alameda,Bay Area,12-17,FEMALE,WhiteTE NH,1787
Alameda,Bay Area,12-17,FEMALE,WhiteTE NH,1712
Alameda,Bay Area,12-17,FEMALE,WhiteTE NH,1743
Alameda,Bay Area,12-17,FEMALE,WhiteTE NH,1778
Alameda,Bay Area,12-17,FEMALE,WhiteTE NH,1881
Alameda,Bay Area,12-17,FEMALE,WhiteTE NH,1830
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,3013
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,3314
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,2837
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,2246
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,1684
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,1758
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,1415
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,1905
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,1825
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,2399
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,2455
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,3202
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,3199
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,3735
Alameda,Bay Area,18-49,FEMALE,WhiteTE NH,3853
