county,age_cat,sex,race_ethnicity,dt_diagnosis,time_int,new_infections,cumulative_infected,new_unrecovered,cumulative_unrecovered,new_severe,cumulative_severe
Alameda County,0-17,FEMALE,1,2023-05-29,202322,6,6,0,0,0,0
Alameda County,0-17,FEMALE,1,2023-06-05,202323,1,7,1,1,0,0
Alameda County,0-17,FEMALE,1,2023-06-12,202324,2,9,0,1,1,1
Alameda County,0-17,FEMALE,1,2023-06-19,202325,10,19,0,1,0,1
Alameda County,0-17,FEMALE,1,2023-06-26,202326,19,38,0,1,0,1
Alameda County,0-17,FEMALE,1,2023-07-03,202327,25,63,1,2,0,1
Alameda County,0-17,FEMALE,1,2023-07-10,202328,23,86,0,2,0,1
Alameda County,0-17,FEMALE,1,2023-07-17,202329,18,104,1,3,0,1
Alameda County,0-17,FEMALE,1,2023-07-24,202330,22,126,1,4,0,1
Alameda County,0-17,FEMALE,1,2023-07-31,202331,35,161,1,5,0,1
Alameda County,0-17,FEMALE,1,2023-08-07,202332,29,190,1,6,0,1
Alameda County,0-17,FEMALE,1,2023-08-14,202333,43,233,0,6,0,1
Alameda County,0-17,FEMALE,1,2023-08-21,202334,69,302,1,7,0,1
Alameda County,0-17,FEMALE,1,2023-08-28,202335,109,411,0,7,0,1
Alameda County,0-17,FEMALE,1,2023-09-04,202336,100,511,3,10,0,1
Alameda County,0-17,FEMALE,1,2023-09-11,202337,98,609,2,12,0,1
Alameda County,0-17,FEMALE,1,2023-09-18,202338,113,722,1,13,0,1
Alameda County,0-17,FEMALE,1,2023-09-25,202339,103,825,3,16,0,1
Alameda County,0-17,FEMALE,1,2023-10-02,202340,93,918,5,21,0,1
Alameda County,0-17,FEMALE,1,2023-10-09,202341,106,1024,2,23,1,2
Alameda County,0-17,FEMALE,1,2023-10-16,202342,102,1126,1,24,0,2
Alameda County,0-17,FEMALE,1,2023-10-23,202343,101,1227,1,25,0,2
Alameda County,0-17,FEMALE,1,2023-10-30,202344,49,1276,2,27,0,2
Alameda County,0-17,FEMALE,1,2023-11-06,202345,38,1314,2,29,0,2
Alameda County,0-17,FEMALE,1,2023-11-13,202346,11,1325,1,30,0,2
Alameda County,0-17,FEMALE,1,2023-11-20,202347,2,1327,0,30,0,2
Alameda County,0-17,FEMALE,1,2023-11-27,202348,1,1328,0,30,0,2
Alameda County,0-17,FEMALE,1,2023-12-04,202349,0,1328,0,30,0,2
Alameda County,0-17,FEMALE,1,2023-12-11,202350,1,1329,0,30,0,2
Alameda County,0-17,FEMALE,1,2023-12-18,202351,0,1329,0,30,0,2
Alameda County,0-17,FEMALE,1,2023-12-25,202352,0,1329,0,30,0,2
Alameda County,0-17,FEMALE,2,2023-05-29,202322,1,1,0,0,0,0
Alameda County,0-17,FEMALE,2,2023-06-05,202323,3,4,0,0,0,0
Alameda County,0-17,FEMALE,2,2023-06-12,202324,0,4,0,0,0,0
Alameda County,0-17,FEMALE,2,2023-06-19,202325,4,8,0,0,0,0
Alameda County,0-17,FEMALE,2,2023-06-26,202326,8,16,0,0,0,0
Alameda County,0-17,FEMALE,2,2023-07-03,202327,9,25,1,1,0,0
Alameda County,0-17,FEMALE,2,2023-07-10,202328,8,33,0,1,0,0
Alameda County,0-17,FEMALE,2,2023-07-17,202329,7,40,0,1,0,0
Alameda County,0-17,FEMALE,2,2023-07-24,202330,6,46,0,1,0,0
Alameda County,0-17,FEMALE,2,2023-07-31,202331,16,62,1,2,0,0
Alameda County,0-17,FEMALE,2,2023-08-07,202332,17,79,0,2,0,0
Alameda County,0-17,FEMALE,2,2023-08-14,202333,12,91,0,2,0,0
Alameda County,0-17,FEMALE,2,2023-08-21,202334,19,110,0,2,0,0
Alameda County,0-17,FEMALE,2,2023-08-28,202335,37,147,2,4,0,0
Alameda County,0-17,FEMALE,2,2023-09-04,202336,29,176,0,4,0,0
Alameda County,0-17,FEMALE,2,2023-09-11,202337,49,225,0,4,0,0
Alameda County,0-17,FEMALE,2,2023-09-18,202338,39,264,3,7,0,0
Alameda County,0-17,FEMALE,2,2023-09-25,202339,37,301,2,9,0,0
Alameda County,0-17,FEMALE,2,2023-10-02,202340,40,341,1,10,0,0
Alameda County,0-17,FEMALE,2,2023-10-09,202341,39,380,2,12,0,0
Alameda County,0-17,FEMALE,2,2023-10-16,202342,38,418,0,12,0,0
Alameda County,0-17,FEMALE,2,2023-10-23,202343,25,443,0,12,0,0
Alameda County,0-17,FEMALE,2,2023-10-30,202344,23,466,0,12,0,0
Alameda County,0-17,FEMALE,2,2023-11-06,202345,12,478,1,13,0,0
Alameda County,0-17,FEMALE,2,2023-11-13,202346,5,483,0,13,0,0
Alameda County,0-17,FEMALE,2,2023-11-20,202347,0,483,0,13,0,0
Alameda County,0-17,FEMALE,2,2023-11-27,202348,3,486,0,13,0,0
Alameda County,0-17,FEMALE,2,2023-12-04,202349,0,486,0,13,0,0
Alameda County,0-17,FEMALE,2,2023-12-11,202350,0,486,0,13,0,0
Alameda County,0-17,FEMALE,2,2023-12-18,202351,0,486,0,13,0,0
Alameda County,0-17,FEMALE,2,2023-12-25,202352,0,486,0,13,0,0
Alameda County,0-17,FEMALE,3,2023-05-29,202322,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-06-05,202323,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-06-12,202324,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-06-19,202325,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-06-26,202326,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-07-03,202327,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-07-10,202328,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-07-17,202329,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-07-24,202330,0,0,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-07-31,202331,1,1,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-08-07,202332,0,1,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-08-14,202333,1,2,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-08-21,202334,2,4,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-08-28,202335,0,4,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-09-04,202336,1,5,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-09-11,202337,1,6,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-09-18,202338,3,9,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-09-25,202339,1,10,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-10-02,202340,1,11,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-10-09,202341,1,12,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-10-16,202342,1,13,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-10-23,202343,0,13,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-10-30,202344,2,15,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-11-06,202345,1,16,0,0,0,0
Alameda County,0-17,FEMALE,3,2023-11-13,202346,0,16,1,1,0,0
Alameda County,0-17,FEMALE,3,2023-11-20,202347,0,16,0,1,0,0
Alameda County,0-17,FEMALE,3,2023-11-27,202348,0,16,0,1,0,0
Alameda County,0-17,FEMALE,3,2023-12-04,202349,0,16,0,1,0,0
Alameda County,0-17,FEMALE,3,2023-12-11,202350,0,16,0,1,0,0
Alameda County,0-17,FEMALE,3,2023-12-18,202351,0,16,0,1,0,0
Alameda County,0-17,FEMALE,3,2023-12-25,202352,0,16,0,1,0,0
Alameda County,0-17,FEMALE,4,2023-05-29,202322,3,3,0,0,0,0
Alameda County,0-17,FEMALE,4,2023-06-05,202323,1,4,0,0,0,0
Alameda County,0-17,FEMALE,4,2023-06-12,202324,0,4,0,0,0,0
Alameda County,0-17,FEMALE,4,2023-06-19,202325,8,12,0,0,0,0
Alameda County,0-17,FEMALE,4,2023-06-26,202326,13,25,0,0,0,0
Alameda County,0-17,FEMALE,4,2023-07-03,202327,13,38,0,0,0,0
Alameda County,0-17,FEMALE,4,2023-07-10,202328,22,60,0,0,0,0
